loss,5,6,-1
gain,3,4,-1
gain,1,6,-5
gain,3,1,2
gain,3,6,-3
loss,1,4,-3
gain,3,4,-1
gain,3,3,0
gain,3,4,-1
loss,6,6,0
loss,2,6,-4
gain,0,4,-4
loss,1,2,-1
loss,2,6,-4
gain,5,5,0
gain,-3,3,-6
gain,0,1,-1
gain,5,3,2
loss,6,6,0
gain,5,6,-1
loss,-1,-2,1
gain,4,3,1
loss,-1,4,-5
gain,5,6,-1
gain,1,4,-3
loss,4,2,2
gain,4,1,3
gain,3,6,-3
loss,6,2,4
loss,4,1,3
gain,5,4,1
loss,6,6,0
gain,1,5,-4
gain,6,7,-1
gain,5,1,4
loss,1,1,0
loss,1,3,-2
loss,5,4,1
gain,4,5,-1
gain,-4,-1,-3
gain,4,0,4
loss,3,1,2
loss,6,4,2
loss,3,1,2
gain,3,6,-3
gain,0,0,0
loss,3,1,2
gain,6,3,3
loss,1,4,-3
loss,2,0,2
gain,6,6,0
gain,1,5,-4
loss,5,4,1
gain,5,7,-2
gain,2,0,2
loss,3,2,1
gain,4,6,-2
gain,-1,6,-7
gain,6,4,2
loss,0,3,-3
gain,6,6,0
gain,6,6,0
gain,6,6,0
gain,-1,-1,0
loss,1,3,-2
gain,5,5,0
gain,1,3,-2
loss,3,4,-1
loss,2,2,0
gain,2,2,0
loss,1,1,0
loss,1,-2,3
gain,6,2,4
gain,4,2,2
gain,5,6,-1
loss,2,2,0
gain,6,6,0
gain,3,1,2
gain,5,6,-1
gain,5,4,1
loss,5,5,0
loss,2,5,-3
loss,5,0,5
gain,1,0,1
gain,3,-1,4
gain,1,3,-2
gain,0,2,-2
gain,-3,-1,-2
gain,6,4,2
gain,2,6,-4
gain,-1,1,-2
loss,6,1,5
loss,6,6,0
gain,5,6,-1
gain,6,6,0
loss,1,6,-5
loss,5,6,-1
gain,0,-1,1
gain,3,5,-2
loss,1,3,-2
loss,2,5,-3
gain,-3,3,-6
loss,-1,-2,1
gain,0,2,-2
gain,0,-3,3
loss,6,7,-1
loss,5,6,-1
gain,-1,1,-2
loss,-1,0,-1
gain,5,6,-1
loss,6,5,1
gain,-1,4,-5
gain,3,2,1
loss,2,4,-2
loss,4,4,0
loss,0,5,-5
gain,2,-1,3
gain,6,6,0
loss,4,6,-2
loss,3,2,1
gain,3,1,2
loss,6,6,0
gain,5,6,-1
gain,1,4,-3
loss,2,-1,3
loss,4,5,-1
gain,5,6,-1
gain,6,4,2
loss,6,6,0
gain,5,6,-1
