snackBehav, grp, BIQseek, all_risky, button1, button2, buttons_all, SIC, PDQ1,1,1,1,0,0,10,1,0.0
0,0,0,1,0,0,9,1,0.5
0,0,1,1,9,3,12,3,1.5
0,0,1,1,0,0,0,-1,0.0
0,0,1,1,9,0,9,3,3.0
0,1,1,1,9,0,6,3,3.0
1,0,1,0,9,0,15,3,3.0
1,0,0,0,9,2,18,3,2.5
0,1,1,1,9,1,9,3,3.0
1,0,1,1,9,0,9,3,3.0
1,1,1,1,9,9,12,2,2.3333333333333335
0,0,1,1,9,0,15,3,3.0
1,1,1,1,9,6,9,0,2.0
1,0,0,1,9,3,15,2,2.333333333333333
1,1,1,1,9,9,15,2,1.6666666666666665
0,0,1,1,9,0,11,3,3.0
1,0,0,1,9,0,13,1,2.5
0,0,1,1,9,9,18,0,3.0
0,1,1,1,9,0,9,3,2.0
1,1,1,1,9,0,17,3,3.0
0,1,0,1,9,0,9,1,1.8333333333333333
1,1,0,1,0,0,9,3,1.0
0,0,1,1,9,9,18,0,0.0
0,1,0,1,0,0,16,2,0.0
1,1,1,1,9,0,9,1,2.333333333333333
0,0,0,1,9,0,10,3,1.5
1,0,0,1,9,0,12,3,1.3333333333333333
0,0,1,1,0,0,5,-1,1.0
1,0,1,1,9,0,9,2,3.0
0,1,0,1,0,0,9,1,0.3333333333333333
0,1,0,1,9,7,18,0,1.5
1,0,0,1,9,0,13,3,3.0
0,1,1,1,9,0,18,3,2.0
0,1,1,1,9,0,18,3,3.0
1,1,1,1,0,0,11,3,3.0
0,1,0,1,9,0,7,3,2.3333333333333335
0,1,1,1,9,0,9,3,2.3333333333333335
1,1,1,1,0,0,6,3,3.0
0,0,1,0,9,9,18,3,3.0
1,1,1,1,9,9,15,3,3.0
0,0,1,0,9,0,12,3,3.0
0,0,0,1,0,0,18,1,0.5
1,0,1,1,9,3,9,2,1.0
0,1,0,1,9,9,18,1,2.3333333333333335
1,1,0,1,0,0,9,empty,2.5
1,0,0,1,0,0,18,0,1.0
1,0,1,1,0,0,18,empty,3.0
0,1,1,1,9,9,18,0,2.0
1,1,0,1,9,9,18,0,0.0
0,1,0,1,6,0,15,1,0.5
0,1,1,1,9,0,18,3,3.0
0,1,1,1,9,9,18,0,2.0
0,1,0,1,0,0,2,-2,0.0
1,1,0,1,0,0,1,empty,0.0
1,0,0,1,9,9,10,1,2.5
0,0,0,1,9,6,10,-1,3.0
1,1,0,1,9,9,18,3,2.0
1,0,0,1,9,9,18,0,3.0
0,1,0,1,9,1,9,3,1.8333333333333333
1,1,0,1,9,9,18,3,2.5
0,1,1,1,9,9,18,3,3.0
1,0,0,1,9,0,9,3,1.1666666666666665
0,1,1,0,9,0,10,3,3.0
0,1,1,1,9,9,15,3,3.0
1,0,1,0,9,1,7,3,3.0
0,1,1,0,9,9,18,2,3.0
0,0,1,0,9,0,9,3,3.0
1,1,1,1,9,2,12,3,1.8333333333333333
1,0,1,0,0,0,18,empty,3.0
0,0,0,1,0,0,18,empty,2.5
1,1,0,1,9,9,18,0,3.0
0,1,1,1,9,9,9,0,3.0
0,1,0,0,0,0,1,-1,0.0
0,0,1,0,9,0,9,2,2.0
1,1,1,1,0,0,10,1,0.6666666666666666
1,0,1,1,9,9,12,1,2.0
0,0,1,1,9,6,9,1,1.5
0,1,0,1,0,0,2,1,0.0
0,0,1,1,9,6,18,-1,2.0
0,1,1,1,9,8,18,3,3.0
0,0,1,0,9,9,18,0,1.0
0,1,1,1,9,6,15,3,3.0
1,0,0,1,9,0,18,2,2.5
0,1,0,1,0,0,15,empty,1.5
0,1,0,1,9,0,9,3,3.0
1,1,0,1,9,0,18,3,1.0
0,1,1,1,9,0,9,3,3.0
0,1,1,1,0,0,9,1,0.0
0,1,1,1,9,0,18,3,3.0
1,1,0,1,6,0,18,2,1.5
1,1,0,1,9,1,16,3,2.0
0,1,1,1,0,0,9,0,1.0
0,0,0,1,0,0,9,0,0.5
1,1,1,1,9,0,9,3,2.3333333333333335
0,0,0,1,0,0,9,1,0.3333333333333333
0,1,1,1,9,3,0,2,2.5
1,1,0,1,9,6,15,2,2.0
0,1,1,1,0,0,9,0,1.0
1,1,0,1,0,0,9,0,0.0
1,1,1,1,9,9,18,2,3.0
0,1,1,1,9,4,18,2,3.0
1,1,1,0,9,0,13,3,1.1666666666666665
0,0,1,1,0,0,10,empty,1.1666666666666665
1,0,1,1,0,0,12,1,0.8333333333333333
0,0,1,1,9,0,18,3,3.0
0,1,1,1,9,0,9,3,3.0
0,0,1,1,9,0,15,3,3.0
1,1,0,1,9,8,9,0,0.0
1,1,1,1,9,9,18,0,3.0
0,0,0,1,9,0,16,3,3.0
0,0,1,1,9,9,18,0,0.3333333333333333
0,1,0,1,3,0,18,2,2.0
1,0,1,1,9,0,9,3,3.0
0,0,1,1,9,0,18,3,3.0
1,1,0,1,0,0,18,empty,3.0
0,0,1,1,9,0,9,3,3.0
1,0,0,1,9,0,15,3,3.0
1,1,1,1,9,9,18,0,1.5
0,0,1,1,0,0,7,-1,0.0
0,1,1,1,0,0,12,0,2.0
0,1,1,1,9,9,9,0,2.0
1,0,0,1,9,6,18,0,3.0
0,1,1,1,9,6,18,2,3.0
0,1,1,1,9,9,9,0,2.5
1,0,1,1,9,9,18,2,3.0
0,0,0,1,6,0,18,-1,0.0
